facility_or_program_type,agency,report_date,date,series,exits,category,housing_category
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (SOTA),DHS,01_2024,2023-12-01,families_with_children,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (SOTA),DHS,01_2024,2023-12-01,adult_families,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (SOTA),DHS,01_2024,2024-01-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (SOTA),DHS,01_2024,2023-11-01,total_single_adults,12,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (EHV),DHS,01_2024,2023-12-01,families_with_children,14,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (EHV),DHS,01_2024,2023-12-01,adult_families,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (EHV),DHS,01_2024,2024-01-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (EHV),DHS,01_2024,2023-11-01,total_single_adults,10,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (other_sub_exit),DHS,01_2024,2023-12-01,families_with_children,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (other_sub_exit),DHS,01_2024,2023-12-01,adult_families,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (other_sub_exit),DHS,01_2024,2024-01-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (other_sub_exit),DHS,01_2024,2023-11-01,total_single_adults,20,Voucher,Permanent Housing
Rapid re-housing funded by the United States department of housing and urban development,DHS,01_2024,2023-12-01,families_with_children,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DHS,01_2024,2023-12-01,adult_families,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DHS,01_2024,2023-11-01,total_single_adults,0,Rapid re-housing,Other
Residential drug treatment and detoxification,DHS,01_2024,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DHS,01_2024,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DHS,01_2024,2023-11-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Section 8 voucher housing- HPD- project-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- project-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- project-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- project-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- project-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DHS,01_2024,2023-12-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DHS,01_2024,2023-12-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DHS,01_2024,2023-11-01,total_single_adults,NA,Voucher,Permanent Housing
Settings with higher levels of medical care- inpatient hospitalization,DHS,01_2024,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DHS,01_2024,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DHS,01_2024,2023-11-01,total_single_adults,46,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DHS,01_2024,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DHS,01_2024,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DHS,01_2024,2023-11-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DHS,01_2024,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DHS,01_2024,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DHS,01_2024,2023-11-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DHS,01_2024,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DHS,01_2024,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DHS,01_2024,2023-11-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Supportive housing,DHS,01_2024,2023-12-01,families_with_children,28,Supportive housing,Permanent Housing
Supportive housing,DHS,01_2024,2023-12-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing
Supportive housing,DHS,01_2024,2023-11-01,total_single_adults,NA,Supportive housing,Permanent Housing
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,01_2024,2023-12-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,01_2024,2023-12-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,01_2024,2023-11-01,total_single_adults,NA,Transitional housing,Other
Unknown or unable to validate,DHS,01_2024,2023-12-01,families_with_children,368,Unknown,Unknown
Unknown or unable to validate,DHS,01_2024,2023-12-01,adult_families,22,Unknown,Unknown
Unknown or unable to validate,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Unknown,Unknown
Unknown or unable to validate,DHS,01_2024,2023-11-01,total_single_adults,2437,Unknown,Unknown
NYCHA,DHS,01_2024,2023-12-01,families_with_children,42,NYCHA,Permanent Housing
NYCHA,DHS,01_2024,2023-12-01,adult_families,0,NYCHA,Permanent Housing
NYCHA,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing
NYCHA,DHS,01_2024,2023-11-01,total_single_adults,0,NYCHA,Permanent Housing
Section 8,DHS,01_2024,2023-12-01,families_with_children,19,Voucher,Permanent Housing
Section 8,DHS,01_2024,2023-12-01,adult_families,0,Voucher,Permanent Housing
Section 8,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8,DHS,01_2024,2023-11-01,total_single_adults,22,Voucher,Permanent Housing
Other,DHS,01_2024,2023-12-01,families_with_children,122,Other,Other
Other,DHS,01_2024,2023-12-01,adult_families,0,Other,Other
Other,DHS,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Other,Other
Other,DHS,01_2024,2023-11-01,total_single_adults,85,Other,Other
A private rental market apartment with no rental subsidy,HPD,01_2024,2024-01-01,families_with_children,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HPD,01_2024,2024-01-01,adult_families,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HPD,01_2024,2024-01-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HPD,01_2024,2024-01-01,total_single_adults,NA,Private market,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,01_2024,2024-01-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,01_2024,2024-01-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,01_2024,2024-01-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
